ID;First Name;Last Name;Email;Phone Number;Fax Number;Billing Address;Billing City;Billing State;Billing Zip Code;Company Name;Company Website;Ship Address;Ship City;Ship State;Ship Zip Code;Ship Phone Number
11;Jamaluddin;Bagus;jamaluddin.bagus@gmail.com;081262087000;081262087000;Jalan Ilyas No. 8, Simpang Kantor;Medan;Sumatera Utara;20262;GroundUp Ai, Ltd;warungpintar.co;Jalan Ilyas No. 8, Simpang Kantor;Medan;Sumatera Utara;20262;081262087000
12;Guntur;Ali;guntur.ali@gmail.com;081262087001;081262087001;Jalan Ilyas No. 8, Simpang Kantor;Medan;Sumatera Utara;20263;GroundUp Ai, Ltd;warungpintar.co;Jalan Ilyas No. 8, Simpang Kantor;Medan;Sumatera Utara;20263;081262087000
13;Mansur;Kusuma;mansur.kusuma@gmail.com;081262087000;081262087000;Jalan Ilyas No. 8, Simpang Kantor;Medan;Sumatera Utara;20264;GroundUp Ai, Ltd;warungpintar.co;Jalan Ilyas No. 8, Simpang Kantor;Medan;Sumatera Utara;20264;081262087000
14;Arif;Firdaus;arif.firdaus@gmail.com;081262087001;081262087001;Jalan Ilyas No. 8, Simpang Kantor;Medan;Sumatera Utara;20265;Shipper;warungpintar.co;Jalan Ilyas No. 8, Simpang Kantor;Medan;Sumatera Utara;20265;081262087000
15;Arif;Tri;arif.tri@gmail.com;081262087000;081262087000;Jalan Ilyas No. 8, Simpang Kantor;Medan;Sumatera Utara;20266;Shipper ;warungpintar.co;Jalan Ilyas No. 8, Simpang Kantor;Medan;Sumatera Utara;20266;081262087000
16;Zulfikar;Hidayat;zulfikar.hidayat@gmail.com;081262087001;081262087001;Jalan Ilyas No. 8, Simpang Kantor;Irvine city;Sumatera Utara;20267;Jatis Mobile;warungpintar.co;Jalan Ilyas No. 8, Simpang Kantor;Medan;Sumatera Utara;20267;081262087000
17;Idris;Sulaiman;idris.sulaiman@gmail.com;081262087000;081262087000;Jalan Ilyas No. 8, Simpang Kantor;Medan;Sumatera Utara;20268;Jatis Mobile;warungpintar.co;Jalan Ilyas No. 8, Simpang Kantor;Medan;Sumatera Utara;20268;081262087000
18;Jamaluddin;Agung;jamaluddin.agung@gmail.com;081262087001;081262087001;Jalan Ilyas No. 8, Simpang Kantor;Irvine city;Sumatera Utara;20269;PT. Pintu Kemana Saja;warungpintar.co;Jalan Ilyas No. 8, Simpang Kantor;Medan;Sumatera Utara;20269;081262087000
19;Lutfi;Daud;lutfi.daud@gmail.com;081262087000;081262087000;Jalan Ilyas No. 8, Simpang Kantor;Medan;Sumatera Utara;20270;Stockbit;warungpintar.co;Jalan Ilyas No. 8, Simpang Kantor;Medan;Sumatera Utara;20270;081262087000
20;Tirta;Bachtiar;tirta.bachtiar@gmail.com;081262087001;081262087001;Jalan Ilyas No. 8, Simpang Kantor;Medan;Sumatera Utara;20271;Stockbit;warungpintar.co;Jalan Ilyas No. 8, Simpang Kantor;Medan;Sumatera Utara;20271;081262087000
